w1,w2,bigram,count,probability
continental,breakfast,continental breakfast,5,1.0
pump,room,pump room,12,1.0
supposed,to,supposed to,13,1.0
due,to,due to,16,1.0
based,on,based on,14,1.0
able,to,able to,38,1.0
attention,to,attention to,4,1.0
heart,of,heart of,5,1.0
wo,n't,wo n't,11,1.0
sort,of,sort of,6,1.0
attempted,to,attempted to,4,1.0
ca,n't,ca n't,29,1.0
blown,away,blown away,4,1.0
compared,to,compared to,10,1.0
centrally,located,centrally located,7,1.0
health,club,health club,5,1.0
kitty,<UNK>,kitty <UNK>,4,1.0
junior,suite,junior suite,5,1.0
forward,to,forward to,14,1.0
david,<UNK>,david <UNK>,4,1.0
p.s,.,p.s .,4,1.0
debit,card,debit card,4,1.0
</s>,<s>,</s> <s>,511,0.998046875
palmer,house,palmer house,19,0.95
navy,pier,navy pier,28,0.9333333333333333
magnificent,mile,magnificent mile,25,0.9259259259259259
ended,up,ended up,11,0.9166666666666666
lots,of,lots of,14,0.875
decided,to,decided to,20,0.8695652173913043
plenty,of,plenty of,13,0.8666666666666667
middle,of,middle of,6,0.8571428571428571
accomodating,.,accomodating .,5,0.8333333333333334
wrote,a,wrote a,5,0.8333333333333334
<num>-star,hotel,<num>-star hotel,5,0.8333333333333334
accommodating,.,accommodating .,5,0.8333333333333334
closer,to,closer to,5,0.8333333333333334
front,desk,front desk,101,0.808
sold,out,sold out,4,0.8
wake,up,wake up,4,0.8
boarding,passes,boarding passes,4,0.8
flat,screen,flat screen,12,0.8
overlooked,the,overlooked the,4,0.8
addition,",","addition ,",4,0.8
cancellation,policy,cancellation policy,4,0.8
mag,mile,mag mile,4,0.8
selection,of,selection of,4,0.8
miracle,mile,miracle mile,4,0.8
kind,of,kind of,18,0.782608695652174
aware,of,aware of,7,0.7777777777777778
tried,to,tried to,21,0.7777777777777778
trying,to,trying to,13,0.7647058823529411
customer,service,customer service,28,0.7567567567567568
talbot,",","talbot ,",3,0.75
hesitate,to,hesitate to,3,0.75
signs,of,signs of,3,0.75
unless,you,unless you,6,0.75
unhelpful,.,unhelpful .,3,0.75
continue,to,continue to,3,0.75
[,--,[ --,3,0.75
bunch,of,bunch of,3,0.75
november,<num>,november <num>,3,0.75
agreed,to,agreed to,3,0.75
stain,on,stain on,3,0.75
rush,street,rush street,6,0.75
memorial,day,memorial day,3,0.75
dc,and,dc and,3,0.75
named,<UNK>,named <UNK>,3,0.75
mother,'s,mother 's,3,0.75
college,<UNK>,college <UNK>,3,0.75
martini,bar,martini bar,3,0.75
mark,<UNK>,mark <UNK>,3,0.75
alley,.,alley .,3,0.75
bag,of,bag of,3,0.75
respond,to,respond to,3,0.75
hung,up,hung up,3,0.75
laid,out,laid out,3,0.75
october,<num>,october <num>,3,0.75
terms,of,terms of,3,0.75
immaculate,.,immaculate .,3,0.75
closes,at,closes at,3,0.75
switched,to,switched to,3,0.75
highlight,of,highlight of,3,0.75
alright,",","alright ,",3,0.75
stale,<UNK>,stale <UNK>,3,0.75
connected,to,connected to,3,0.75
la,<UNK>,la <UNK>,3,0.75
holiday,inn,holiday inn,8,0.7272727272727273
close,to,close to,47,0.7230769230769231
$,<num>,$ <num>,150,0.7177033492822966
executive,lounge,executive lounge,5,0.7142857142857143
duvet,cover,duvet cover,5,0.7142857142857143
cons,:,cons :,5,0.7142857142857143
<num>th,floor,<num>th floor,47,0.7121212121212122
lack,of,lack of,7,0.7
somewhere,else,somewhere else,7,0.7
looks,like,looks like,7,0.7
couple,of,couple of,16,0.6956521739130435
however,",","however ,",26,0.6842105263157895
wanted,to,wanted to,15,0.6818181818181818
type,of,type of,6,0.6666666666666666
upper,floor,upper floor,4,0.6666666666666666
@,$,@ $,4,0.6666666666666666
turndown,service,turndown service,4,0.6666666666666666
breakfasts,and,breakfasts and,4,0.6666666666666666
fact,that,fact that,16,0.6666666666666666
impossible,to,impossible to,4,0.6666666666666666
feet,.,feet .,4,0.6666666666666666
